"Type"	"TypeID"	"Field"	"Type"	"Required?"	"Description"
"elements"	"multi_external_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"multi_external_select"	"min_query_length"	"Integer"	"No"	"When the typeahead field is used, a request will be sent on every character change. If you prefer fewer requests or more fully ideated queries, use the min_query_length attribute to tell Slack the fewest number of typed characters required before dispatch. The default value is 3."
"elements"	"multi_external_select"	"initial_options"	"Object[]"	"No"	"An array of option objects that exactly match one or more of the options within options or option_groups. These options will be selected when the menu initially loads."
"elements"	"multi_external_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears before the multi-select choices are submitted."
"elements"	"multi_external_select"	"max_selected_items"	"Integer"	"No"	"Specifies the maximum number of items that can be selected in the menu. Minimum number is 1."
"elements"	"multi_external_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"multi_external_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"multi_users_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always multi_users_select."
"elements"	"multi_users_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"multi_users_select"	"initial_users"	"String[]"	"No"	"An array of user IDs of any valid users to be pre-selected when the menu loads."
"elements"	"multi_users_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears before the multi-select choices are submitted."
"elements"	"multi_users_select"	"max_selected_items"	"Integer"	"No"	"Specifies the maximum number of items that can be selected in the menu. Minimum number is 1."
"elements"	"multi_users_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"multi_users_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"multi_conversations_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always multi_conversations_select."
"elements"	"multi_conversations_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"multi_conversations_select"	"initial_conversations"	"String[]"	"No"	"An array of one or more IDs of any valid conversations to be pre-selected when the menu loads. If default_to_current_conversation is also supplied, initial_conversations will be ignored."
"elements"	"multi_conversations_select"	"default_to_current_conversation"	"Boolean"	"No"	"Pre-populates the select menu with the conversation that the user was viewing when they opened the modal, if available. Default is false."
"elements"	"multi_conversations_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears before the multi-select choices are submitted."
"elements"	"multi_conversations_select"	"max_selected_items"	"Integer"	"No"	"Specifies the maximum number of items that can be selected in the menu. Minimum number is 1."
"elements"	"multi_conversations_select"	"filter"	"Object"	"No"	"A filter object that reduces the list of available conversations using the specified criteria."
"elements"	"multi_conversations_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"multi_conversations_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"multi_channels_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always multi_channels_select."
"elements"	"multi_channels_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"multi_channels_select"	"initial_channels"	"String[]"	"No"	"An array of one or more IDs of any valid public channel to be pre-selected when the menu loads."
"elements"	"multi_channels_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears before the multi-select choices are submitted."
"elements"	"multi_channels_select"	"max_selected_items"	"Integer"	"No"	"Specifies the maximum number of items that can be selected in the menu. Minimum number is 1."
"elements"	"multi_channels_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"multi_channels_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"number_input"	"type"	"String"	"Yes"	"The type of element. In this case type is always number_input."
"elements"	"number_input"	"is_decimal_allowed"	"Boolean"	"Yes"	"Decimal numbers are allowed if is_decimal_allowed= true, set the value to false otherwise."
"elements"	"number_input"	"action_id"	"String"	"No"	"An identifier for the input value when the parent modal is submitted. You can use this when you receive a view_submission payload to identify the value of the input element. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"number_input"	"initial_value"	"String"	"No"	"The initial value in the plain-text input when it is loaded."
"elements"	"number_input"	"min_value"	"String"	"No"	"The minimum value, cannot be greater than max_value."
"elements"	"number_input"	"max_value"	"String"	"No"	"The maximum value, cannot be less than min_value."
"elements"	"number_input"	"dispatch_action_config"	"Object"	"No"	"A dispatch configuration object that determines when during text input the element returns a block_actions payload."
"elements"	"number_input"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"number_input"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown in the number input. Maximum length for the text in this field is 150 characters."
"elements"	"overflow"	"type"	"String"	"Yes"	"The type of element. In this case type is always overflow."
"elements"	"overflow"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"overflow"	"options"	"Object[]"	"Yes"	"An array of up to five option objects to display in the menu."
"elements"	"overflow"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a menu item is selected."
"elements"	"plain_text_input"	"type"	"String"	"Yes"	"The type of element. In this case type is always plain_text_input."
"elements"	"plain_text_input"	"action_id"	"String"	"Yes"	"An identifier for the input value when the parent modal is submitted. You can use this when you receive a view_submission payload to identify the value of the input element. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"plain_text_input"	"initial_value"	"String"	"No"	"The initial value in the plain-text input when it is loaded."
"elements"	"plain_text_input"	"multiline"	"Boolean"	"No"	"Indicates whether the input will be a single line (false) or a larger textarea (true). Defaults to false."
"elements"	"plain_text_input"	"min_length"	"Integer"	"No"	"The minimum length of input that the user must provide. If the user provides less, they will receive an error. Maximum value is 3000."
"elements"	"plain_text_input"	"max_length"	"Integer"	"No"	"The maximum length of input that the user can provide. If the user provides more, they will receive an error."
"elements"	"plain_text_input"	"dispatch_action_config"	"Object"	"No"	"A dispatch configuration object that determines when during text input the element returns a block_actions payload."
"elements"	"plain_text_input"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"plain_text_input"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown in the plain-text input. Maximum length for the text in this field is 150 characters."
"elements"	"radio_buttons"	"type"	"String"	"Yes"	"The type of element. In this case type is always radio_buttons."
"elements"	"radio_buttons"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when the radio button group is changed. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"radio_buttons"	"options"	"Object[]"	"Yes"	"An array of option objects.  A maximum of 10 options are allowed."
"elements"	"radio_buttons"	"initial_option"	"Object"	"No"	"An option object that exactly matches one of the options within options. This option will be selected when the radio button group initially loads."
"elements"	"radio_buttons"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after clicking one of the radio buttons in this element."
"elements"	"radio_buttons"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"static_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always static_select."
"elements"	"static_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"static_select"	"options"	"Object[]"	"Yes"	"An array of option objects. Maximum number of options is 100. If option_groups is specified, this field should not be."
"elements"	"static_select"	"option_groups"	"Object[]"	"No"	"An array of option group objects. Maximum number of option groups is 100. If options is specified, this field should not be."
"elements"	"static_select"	"initial_option"	"Object"	"No"	"A single option that exactly matches one of the options within options or option_groups. This option will be selected when the menu initially loads."
"elements"	"static_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a menu item is selected."
"elements"	"static_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"static_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"external_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always external_select."
"elements"	"external_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"external_select"	"initial_option"	"Object"	"No"	"A single option that exactly matches one of the options within the options or option_groups loaded from the external data source. This option will be selected when the menu initially loads."
"elements"	"external_select"	"min_query_length"	"Integer"	"No"	"When the typeahead field is used, a request will be sent on every character change. If you prefer fewer requests or more fully ideated queries, use the min_query_length attribute to tell Slack the fewest number of typed characters required before dispatch. The default value is 3."
"elements"	"external_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a menu item is selected."
"elements"	"external_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"external_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"users_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always users_select."
"elements"	"users_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"users_select"	"initial_user"	"String"	"No"	"The user ID of any valid user to be pre-selected when the menu loads."
"elements"	"users_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a menu item is selected."
"elements"	"users_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"users_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"conversations_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always conversations_select."
"elements"	"conversations_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"conversations_select"	"initial_conversation"	"String"	"No"	"The ID of any valid conversation to be pre-selected when the menu loads. If default_to_current_conversation is also supplied, initial_conversation will take precedence."
"elements"	"conversations_select"	"default_to_current_conversation"	"Boolean"	"No"	"Pre-populates the select menu with the conversation that the user was viewing when they opened the modal, if available. Default is false."
"elements"	"conversations_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a menu item is selected."
"elements"	"conversations_select"	"response_url_enabled"	"Boolean"	"No"	"This field only works with menus in input blocks in modals. When set to true, the view_submission payload from the menu's parent view will contain a response_url. This response_url can be used for message responses. The target conversation for the message will be determined by the value of this select menu."
"elements"	"conversations_select"	"filter"	"Object"	"No"	"A filter object that reduces the list of available conversations using the specified criteria."
"elements"	"conversations_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"conversations_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"channels_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always channels_select."
"elements"	"channels_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"channels_select"	"initial_channel"	"String"	"No"	"The ID of any valid public channel to be pre-selected when the menu loads."
"elements"	"channels_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a menu item is selected."
"elements"	"channels_select"	"response_url_enabled"	"Boolean"	"No"	"This field only works with menus in input blocks in modals. When set to true, the view_submission payload from the menu's parent view will contain a response_url. This response_url can be used for message responses. The target channel for the message will be determined by the value of this select menu."
"elements"	"channels_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"channels_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"timepicker"	"type"	"String"	"Yes"	"The type of element. In this case type is always timepicker."
"elements"	"timepicker"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a time is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"timepicker"	"initial_time"	"String"	"No"	"The initial time that is selected when the element is loaded. This should be in the format HH:mm, where HH is the 24-hour format of an hour (00 to 23) and mm is minutes with leading zeros (00 to 59), for example 22:25 for 10:25pm."
"elements"	"timepicker"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a time is selected."
"elements"	"timepicker"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"timepicker"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the timepicker. Maximum length for the text in this field is 150 characters."
"elements"	"url_text_input"	"type"	"String"	"Yes"	"The type of element. In this case type is always url_text_input."
"elements"	"url_text_input"	"action_id"	"String"	"Yes"	"An identifier for the input value when the parent modal is submitted. You can use this when you receive a view_submission payload to identify the value of the input element. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"url_text_input"	"initial_value"	"String"	"No"	"The initial value in the URL input when it is loaded."
"elements"	"url_text_input"	"dispatch_action_config"	"Object"	"No"	"A dispatch configuration object that determines when during text input the element returns a block_actions payload."
"elements"	"url_text_input"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"url_text_input"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown in the URL input. Maximum length for the text in this field is 150 characters."
